reference,legend,image_url,quantity
1BY4171,"Banksy - Villere St., New Orleans",https://pg-plaisio.gr/img/p/7/0/4/8//7048.jpg,0
1BY4784,"Banksy - Bethlehem, Palestine (graffiti attributed to Banksy, detail)",https://pg-plaisio.gr/img/p/5/2/2/8//5228.jpg,0
1CC3628,Laura Ceccarelli - Dark Explosion,https://pg-plaisio.gr/img/p/1/3/7/5/9/13759.jpg,0
1CC3629,Laura Ceccarelli - Inverno,https://pg-plaisio.gr/img/p/1/3/7/5/5/13755.jpg,0
1CG2407,Eve C. Grant - Pink Hydrangeas,https://pg-plaisio.gr/img/p/1/3/7/5/1/13751.jpg,0
1CG2408,Eve C. Grant - Lilac Hydrangeas,https://pg-plaisio.gr/img/p/1/3/7/4/7/13747.jpg,0
1CG3909,Eve C. Grant - Jungle III,https://pg-plaisio.gr/img/p/1/0/2/1/9/10219.jpg,0
1CG3910,Eve C. Grant - Jungle IV,https://pg-plaisio.gr/img/p/1/0/2/1/5/10215.jpg,0
1CG4150,Eve C. Grant - Flowers and Butterflies (detail),https://pg-plaisio.gr/img/p/7/0/5/2//7052.jpg,0
1CG4151,Eve C. Grant - Nympheas and Butterflies (detail),https://pg-plaisio.gr/img/p/7/0/5/6//7056.jpg,0
1CG4152,Eve C. Grant - Roses and Butterflies (detail),https://pg-plaisio.gr/img/p/7/0/6/0//7060.jpg,0
1CG6287,Eve C. Grant - Palm Festoon I,https://pg-plaisio.gr/img/p/2/3/6/1/6/23616.jpg,0
1CG6288,Eve C. Grant - Palm Festoon II,https://pg-plaisio.gr/img/p/2/3/4/3/1/23431.jpg,0
1CG6348,Eve C. Grant - Grey Palms I,https://pg-plaisio.gr/img/p/2/3/6/1/2/23612.jpg,0
1CG6349,Eve C. Grant - Grey Palms II,https://pg-plaisio.gr/img/p/2/3/4/2/7/23427.jpg,0
1CG6354,Eve C. Grant - Golden Palms I,https://pg-plaisio.gr/img/p/2/3/6/0/8/23608.jpg,0
1CG6355,Eve C. Grant - Golden Palms II,https://pg-plaisio.gr/img/p/2/3/4/2/3/23423.jpg,0
